loss,acc,acc_5,val_loss,val_acc,val_acc_5
2.242551851272583,4.285714,21.428572,2.134430170059204,7.1428576,42.857143
2.121979093551636,11.428572,34.285713,2.0935354232788086,7.1428576,50.000004
2.0336967945098876,18.571428,47.142857,2.0647404193878174,7.1428576,50.000004
1.9873119592666626,30.0,61.428574,2.013516664505005,21.428572,64.28572
1.9024011135101317,35.714287,68.57143,1.976036787033081,35.714287,64.28572
1.8671332597732544,30.0,70.0,1.899141788482666,50.000004,57.14286
1.810045838356018,35.714287,74.28571,1.8498811721801758,28.57143,71.42857
1.806343102455139,40.0,72.85714,1.818428635597229,35.714287,57.14286
1.6954562425613404,38.57143,80.0,1.8513723611831665,42.857143,57.14286
1.7206703424453735,37.142857,74.28571,1.8427770137786865,35.714287,64.28572
1.6877690553665161,38.57143,80.0,1.8868743181228638,28.57143,64.28572
1.6442582607269287,48.57143,81.42857,1.8737784624099731,28.57143,64.28572
1.649082636833191,45.714287,78.57143,1.8601388931274414,35.714287,64.28572
1.557852840423584,50.0,85.71429,1.8876607418060303,35.714287,64.28572
1.5568105459213257,52.857143,82.85714,1.832120656967163,35.714287,64.28572
1.4804809808731079,58.57143,91.42857,1.7936898469924927,35.714287,64.28572
1.4384568691253663,57.142857,90.0,1.9111571311950684,42.857143,57.14286
1.3899180889129639,61.428574,94.28571,1.8975787162780762,21.428572,64.28572
1.359685468673706,68.57143,92.85714,1.9658397436141968,28.57143,64.28572
1.3451810836791993,58.57143,94.28571,2.0010318756103516,21.428572,71.42857
1.2601470708847047,65.71429,97.14286,2.0427680015563965,14.285715,71.42857
1.2255948305130004,75.71429,95.71429,2.0145456790924072,21.428572,78.571434
1.2331586837768556,68.57143,95.71429,2.204977512359619,14.285715,57.14286
1.1665032863616944,74.28571,94.28571,2.147373914718628,21.428572,71.42857
1.1209860563278198,80.0,97.14286,2.258460283279419,21.428572,64.28572
1.0445239663124084,81.42857,98.57143,2.3332924842834473,21.428572,71.42857
1.0529259085655212,84.28571,97.14286,2.4715023040771484,21.428572,57.14286
0.9084935903549194,92.85714,100.0,2.3816921710968018,21.428572,71.42857
0.9335811853408813,82.85714,100.0,2.4293203353881836,21.428572,64.28572
0.8869878649711609,94.28571,100.0,2.540605306625366,21.428572,57.14286
0.8469932198524475,92.85714,100.0,2.680516004562378,21.428572,71.42857
0.8123018741607666,94.28571,97.14286,2.7057535648345947,21.428572,64.28572
0.8748645186424255,90.0,100.0,2.648627758026123,21.428572,57.14286
0.8692615866661072,90.0,98.57143,2.664123058319092,21.428572,57.14286
0.7587508678436279,98.57143,100.0,2.8130509853363037,21.428572,57.14286
0.8484491109848022,92.85714,98.57143,2.846907615661621,21.428572,71.42857
0.7745453119277954,95.71429,100.0,2.8701417446136475,21.428572,64.28572
0.7923814058303833,92.85714,100.0,3.1715822219848633,21.428572,50.000004
0.7648398041725158,97.14286,100.0,3.5142033100128174,21.428572,50.000004
0.7749590158462525,92.85714,100.0,3.4689714908599854,21.428572,57.14286
0.6826062560081482,98.57143,100.0,3.162013053894043,21.428572,64.28572
0.697687828540802,98.57143,100.0,3.2034831047058105,21.428572,64.28572
0.6882023930549621,100.0,100.0,3.072890043258667,21.428572,64.28572
0.677981686592102,98.57143,98.57143,3.058598279953003,21.428572,50.000004
0.6711683154106141,97.14286,100.0,3.3747735023498535,21.428572,50.000004
0.6860702276229859,97.14286,100.0,3.5172643661499023,21.428572,50.000004
0.7177019953727722,95.71429,100.0,3.3591108322143555,21.428572,64.28572
0.6337243318557739,100.0,100.0,3.281491279602051,21.428572,71.42857
0.6866397380828857,98.57143,100.0,3.381829261779785,21.428572,57.14286
0.6336362481117248,98.57143,100.0,3.491196393966675,21.428572,71.42857
0.6637508034706116,98.57143,100.0,3.4713833332061768,21.428572,64.28572
0.6416958332061767,97.14286,100.0,3.6120426654815674,21.428572,50.000004
0.6641281843185425,98.57143,100.0,3.8570618629455566,21.428572,50.000004
