loss,acc,val_loss,val_acc
2.4727783155517455,41.97035,1.9797962231394846,59.022373
1.8505783707569963,62.582367,1.6667711567785952,69.21814
1.6719870828211116,69.15435,1.5761309732259015,72.7748
1.5777575691667989,72.73612,1.5192117055566394,74.890564
1.5087875820958196,75.446785,1.4821556069043824,76.6841
1.4643019209273707,76.7522,1.437269310079196,77.80277
1.4317967476555333,78.35463,1.406737440291082,78.90321
1.3999263865117448,79.57518,1.4021432362641806,79.116005
1.3715593041703342,80.49121,1.375313777867922,80.11308
1.347665770556599,81.46965,1.3796047213476457,79.7483
1.3321214221156061,82.091156,1.3530913229582375,81.341194
1.3149435343072056,82.51547,1.3313251937873634,81.79718
1.3008807034919057,83.18191,1.3157297414564437,82.3322
1.2881363647433515,83.58626,1.3677686916714977,80.331955
1.2771165936518782,83.88578,1.3220428724697129,82.368675
1.2636352337587375,84.5023,1.3655300390859522,80.49611
1.2539750017678013,84.96406,1.3491217255128496,80.8305
1.2432496365838157,85.338455,1.3028041622981952,82.49027
1.237761149676844,85.50819,1.3081607187768365,82.447716
1.22371191110093,86.002396,1.3212228582063075,82.089005
1.2171723719793386,86.35184,1.2844200009038012,83.46912
1.209562872640622,86.69628,1.3044497996916566,82.92802
1.2055741683743633,86.73622,1.2861585519657062,83.00705
1.199825817594132,86.968346,1.3110895583601778,82.55715
1.1976348928178842,87.08317,1.2904175782018135,83.09825
1.1920317170528558,87.462555,1.317687356054551,82.14372
1.1829644481594952,87.59734,1.280133842726162,83.36576
1.1790365302524628,87.75958,1.28434315242656,83.37184
1.1712452435074523,88.09654,1.271249634514523,83.76702
1.1665393732988034,88.238815,1.2770408266713182,83.59071
1.1644493366201845,88.2488,1.279153311994753,83.724464
1.1592490849213097,88.51088,1.2816811626059537,83.91294
1.1622920241028356,88.440994,1.2847759763090527,83.29888
1.1547006822813053,88.772964,1.2907960899609072,83.189445
1.147355344253607,89.064995,1.2942957606760908,83.4144
1.146955007467026,88.86781,1.2784890544089826,83.30496
1.1420349712950735,89.15984,1.247017965010632,84.44188
1.1417361851127004,89.132385,1.2741198064288277,83.40224
1.134899554256433,89.35453,1.2560705357024642,84.375
1.1345959425734256,89.34454,1.2631663520048564,84.09533
1.1340570065160147,89.559204,1.2722665400820483,83.931175
1.1250872264464442,89.9336,1.2713218964491373,83.991974
1.1248472830929315,89.71895,1.266096479697914,83.97373
1.1207478364435628,90.01347,1.2615595130604993,83.96766
1.1202814658038533,90.05591,1.2455569642527093,84.65467
